,text,year,sentiment,score,emotion
0,"It is today in the vanguard of the liberation struggles, and that is why imperialism has unleashed all its forces and strength against it. The initiators of what is known as the Rogers plan had as their principal object the elimination of Palestinian resistance. AmericanZionist imperialism has found in Jordan reactionary forces to carry out a dirty criminal task, the massacre of tens of thousands of Palestinians, old men, women and children. These massacres have been perpetrated under the cover of the military umbrellas of Washington and Tel Aviv and with considerable logistic support from the United States. Never has the cooperation and coordination of the imperialists, Zionists and Arab reactionaries been so clearcut and so flagrant as during the recent bloody events in Jordan.",1970,negative,-0.859584,"{'sadness': 0.437207, 'joy': 0.028285, 'fear': 0.143729, 'disgust': 0.523969, 'anger': 0.195535}"
1,"90.	The' world was brought to the verge of a global war when Israel played the role of the spearhead of the tripartite aggression which was launched against Egypt in 1956. Israel pushed the world again to the verge of another world war through the launching of an expansionist Zionist-imperialist surprise attack against three Arab States in 1967. Following the 1967 aggression, Israel was ordered to withdraw from all the occupied territories. Since then, Israel has been condemned for savage, inhuman attacks, aerial and otherwise, deep inside Arab territories, killing innocent school children, working men and women in their factories. Israel has also been condemned for crimes committed in every part of the occupied territories: crimes
7
against civilians; against children, women and old men; against sacred historical places; and against the sentiments and feelings of Christians and Moslems throughout the world.",1971,negative,-0.908223,"{'sadness': 0.231103, 'joy': 0.163993, 'fear': 0.129558, 'disgust': 0.182739, 'anger': 0.187622}"
2,"10.	Would I be asking much if I requested us to call upon those Powers that unceasingly supply strategic and offensive weapons to the aggressive forces of Israel to help them fulfill their expansionist policies and kill innocent women and children, among their other victims, to reconsider their policy and desist, for the sake of peace and humanity? Or would it be much to request, further, that the United Nations use all available means, including sanctions, as provided for in the Charter to put pressure upon the aggressor to comply with Security Council resolution 242 (1967) and all other resolutions of the United Nations pertaining to the restoration of the rights of the people of Palestine.",1972,negative,-0.793154,"{'sadness': 0.184329, 'joy': 0.012297, 'fear': 0.064163, 'disgust': 0.391226, 'anger': 0.307986}"
3,"185.	The aggression of 1967 ushered in a new era, in which Israel's participation in official terrorism escalated. It involved its air force in terrorist actions, unleashing without restraint its airmen against civilian populations and civilian establishments to rain death upon laborers in Egyptian factories and children in Egyptian schools, and upon women and old men and children in the villages and towns of Jordan, Lebanon and Syria and the refugee camps in those countries.",1972,negative,-0.684343,"{'sadness': 0.362911, 'joy': 0.052624, 'fear': 0.347524, 'disgust': 0.473191, 'anger': 0.123217}"
4,"35.	On the morrow of the Lod attack, of which Lebanon immediately disapproved and with which it was in no way associated, the Israeli air force on 21, 22 and 23 June unleashed an attack against the innocent civilian population of Hasbaya and Deir El-Achaer, killing and wounding men, women and children. The intention of Israel was to take revenge on the peaceful Lebanese villagers for the Puerto Rican and Israeli deaths which had taken place under the guns of foreign extremists who came to Israel from a foreign country. How can one fail to condemn this massacre of Lebanese civilians, dictated by an apparent logic of terror?",1972,negative,-0.76812,"{'sadness': 0.252364, 'joy': 0.004001, 'fear': 0.370344, 'disgust': 0.248525, 'anger': 0.502316}"
5,"51.	How can one allow Israel to attack Lebanon, and Lebanon alone, persistently, whenever any action is undertaken against its interest or its nationals in any part of the world? If the intransigence of the leaders of Israel was the cause of the Munich massacre, by what confused logic can one blame Lebanon and hence justify the attacks on Lebanon and the massacre of women and children? Furthermore, the Federal Government of Germany itself officially declared that Lebanon could not in any way be held responsible.",1972,negative,-0.835264,"{'sadness': 0.26362, 'joy': 0.01068, 'fear': 0.170838, 'disgust': 0.506907, 'anger': 0.429772}"
6,"146.	Yet, almost 10 months after the cessation of hostilities, over 90,000 Pakistani prisoners of war and civilian detainees, including women and children, continue to be held captive in Indian camps. The ICRC, as well as the International Commission of Jurists, has expressed concern over the continuing delay in the release of the prisoners of war.",1972,negative,-0.64169,"{'sadness': 0.613816, 'joy': 0.019244, 'fear': 0.090617, 'disgust': 0.073204, 'anger': 0.437667}"
7,"46.	But have such treacherous acts ceased to threaten the security and stability of the region? We have only to recall the recent Zionist invasion of Lebanon, during which hundreds of innocent women and children were killed or wounded. How can we forget the continuous acts of aggression, including the usurpation of Syrian and other neighboring territories, which are still being subjected to Zionist aerial bombardment, without sparing towns, mosques, churches and even bridges which are vital for the livelihood of people dwelling in small towns and villages?",1972,negative,-0.776998,"{'sadness': 0.383425, 'joy': 0.017746, 'fear': 0.327442, 'disgust': 0.396859, 'anger': 0.252592}"
8,"113.	Israel persists in its occupation of Arab territories and is disregarding resolutions adopted by the United Nations General Assembly and the Security Council. Moreover, Israel has recently committed massive acts of aggression against Lebanese and Syrian territories. As a result of that latest aggression, hundreds of innocent people, including women and children, have been killed. In addition, Israel's rulers have announced publicly their intention to commit more criminal acts in reprisal against the Arab countries which refuse to surrender to Zionist designs. In the course of those aggressive acts, camps of Palestinian refugees are entirely destroyed by the Israeli armed forces in order physically to liquidate the refugees. Israel thus re-enacts, by its crimes, the acts which the Nazis perpetrated against the Jews and other people who were subjected to Nazi aggression.",1972,negative,-0.899535,"{'sadness': 0.200254, 'joy': 0.038033, 'fear': 0.164864, 'disgust': 0.566018, 'anger': 0.251433}"
9,"64.	Twenty-six years have elapsed since the Zionists launched their aggression against the people of Palestine; seven years have passed since the Zionists attacked three States Members of this international Organization and have continued to occupy parts of their territories. In spite of the fact that the United Nations was and still is a responsible party in the present crisis, it has not achieved any progress towards the elimination of aggression and the implementation of the principles of the Charter in the area. I regret to say that what has taken place is the exact opposite. The dispersion of the people of Palestine, the denial of their legitimate rights in their homeland, continues to be the policy declared and enforced by Israel; a policy that has taken all the dimensions of a campaign of genocide against the exiled people. The air-raids on the refugee camps, the massacre of children, women and the aged, the murder of the Palestinian leaders according to a programme of terrorism, and the continuation of systematic violence and ejection in the occupied territories, are the Zionist policies which violate all the fundamentals of justice and the principles of the Charter of the United Nations.",1973,negative,-0.814796,"{'sadness': 0.521011, 'joy': 0.102742, 'fear': 0.088903, 'disgust': 0.617326, 'anger': 0.153272}"
