,text,year,sentiment,score,emotion
0,"24.	Furthermore, Cuba has said that the projected growth rate corresponds not even remotely to the plight of the developing countries. An annual per capita growth rate of between 3.5 per cent and 4.5 per cent in those countries means that the average annual income of the inhabitants of the countries of the third world would be approximately equivalent to 10 per cent of the average income of people in the developed capitalist countries and 5 per cent of the per capita income of the citizens of the United States. Such a prospect is hardly satisfactory for millions of men and women who live in poverty and who are prepared to fight for a more dignified existence.",1970,negative,-0.670728,"{'sadness': 0.13827, 'joy': 0.228936, 'fear': 0.331102, 'disgust': 0.052475, 'anger': 0.089914}"
1,"84.	On the other hand, it is certainly a duty of our Organization to mobilize the resources which are indispensable to alleviate the unspeakable sufferings of the refugees. It is absolutely scandalous that, when the industrial Powers are stockpiling large surpluses of powdered milk, wheat, meat, and powdered eggs, women and children should be dying by hundreds of thousands. Will it be said that the consumer society was indifferent to their fate? Of course I do not wish to minimize the efforts which have been made by certain States, in particular by India. What I am saying is that not enough has been done and that it is urgent that the problem should be viewed in its proper perspective.",1971,negative,-0.701049,"{'sadness': 0.538067, 'joy': 0.222531, 'fear': 0.078453, 'disgust': 0.501301, 'anger': 0.094989}"
2,"71.	Indian artillery fired nearly 1,000 shells on five closely-located border villages in Sylhet district on the night of 29 September. The villages battered by Indian shelling were Mantala, Kamalpur, Jaipur, Armnager, and Harashpur; 28 villagers, including 12 women and 8 children, were killed, while 13 others were wounded. Among the casualties was a party of Telephone Department employees who were repairing a telecommunication line. Communication lines, it must be mentioned, are particular targets of Indian attacks. After shelling, Indian armed personnel attempted to infiltrate into these areas. The Pakistan Army combed the area and recovered 3 light machine-guns, 145 boxes of small-arms ammunition, 100 steel helmets, 40 mines, some wireless sets and 387 grenades.",1971,neutral,0.0,"{'sadness': 0.490221, 'joy': 0.088314, 'fear': 0.213964, 'disgust': 0.101728, 'anger': 0.148123}"
3,"101.	In Viet-Nam, the situation seems to be frozen. Men, women and children by the thousands are falling victims to the principles of those who are supposed to guide their destinies. The main victims are the masses of the dead, the wounded, the mutilated, and the families in mourning. The principal victors are the armaments industries of the various countries supplying arms. The halting of hostilities and subsequent self-determination and neutrality seem to be the necessary pre-conditions for a final settlement of the VietNamese situation if we want to end the terrifying spectacle of dual intransigence causing so much havoc in the Far East.",1972,negative,-0.904786,"{'sadness': 0.670666, 'joy': 0.050632, 'fear': 0.128867, 'disgust': 0.137129, 'anger': 0.098724}"
4,"36.	Only a few days ago, on 8 September, the same Israeli air force bombed three sites in the north and south of Lebanon. The 'glorious' results of this heroic operation was that 9 children, one woman and 2 men were killed and 34 other civilians were wounded, including 16 children aged from 8 to 15 years.",1972,neutral,0.0,"{'sadness': 0.563371, 'joy': 0.03732, 'fear': 0.164956, 'disgust': 0.303631, 'anger': 0.262275}"
5,"148.	I should like here to record our gratitude to the international community for the generosity and speed with which it has come forward with assistance, and to the Secretary-General for undertaking a massive operation, for the repatriation by air of an estimated 170,000 to 200,000 men, women and children.",1973,positive,0.995209,"{'sadness': 0.014393, 'joy': 0.503695, 'fear': 0.010812, 'disgust': 0.023199, 'anger': 0.012725}"
6,"'The heads of delegations of the non-aligned countries condemn the blind bombing of the civilian population of Syria by Israel, bombings which have caused the death of hundreds of innocent civilians, men, women and children, including foreign diplomats, United Nations officials and members of their families.",1973,negative,-0.861158,"{'sadness': 0.536696, 'joy': 0.014496, 'fear': 0.188936, 'disgust': 0.286318, 'anger': 0.149541}"
7,"53.	In his message addressed to President Ford of the United States on the occasion of his statement at the beginning of the present session of the Assembly, as published in The New York Times on 25 September 1974, that great statesman who governs the destinies of Venezuela, Mr. Carlos Andres Perez, said:
'Venturing to interpret the policy of OPEC, I would assure you that it is the hope of our petroleum-producing countries that an agreement between the countries producing raw materials and the industrialized countries which will be equitable and bring international justice can be reached, through a world body such as the United Nations, with a view to striking a proper and acceptable balance between the prices paid to us for the labor of the men and women of our poverty-stricken countries and those paid by our economies for the imports we require.'",1974,positive,0.955645,"{'sadness': 0.261804, 'joy': 0.458637, 'fear': 0.012249, 'disgust': 0.082511, 'anger': 0.175346}"
8,"113.	The Sahelian region of Africa and my own country have suffered and are still suffering from severe food shortages caused by several years of drought. Hundreds of thousands of men, women and children have lost their lives. The humanitarian response which we received from the international community has been encouraging. It is gratifying for me to take this opportunity to express from this rostrum my country's deep appreciation and gratitude to those sympathetic individuals, friendly nations and international and non-governmental organizations that came to our rescue. It must be emphasized, however, that the relief aid going to the drought-stricken parts of Ethiopia, both from domestic and international sources, falls far short of the amount needed to cope with the situation. Ethiopia trusts that the international community will continue to respond to the desperate needs of the victims of drought and natural disaster.",1974,negative,-0.406854,"{'sadness': 0.621348, 'joy': 0.607051, 'fear': 0.489919, 'disgust': 0.073836, 'anger': 0.088403}"
9,"46.	The plight of refugees is not unfamiliar to us. Indeed, we are at present confronted with such a problem ourselves. About 100,000 Iraqi-Kurdish refugees all of them women, the elderly and children have flooded into Iran as a result of calamitous and heart-rending bombings. The Government of Iran has already allocated more than $100 million for the care of these refugees. But it is evident that money, food and housing alone cannot alleviate all their sufferings.",1974,negative,-0.745987,"{'sadness': 0.622359, 'joy': 0.14182, 'fear': 0.131458, 'disgust': 0.493456, 'anger': 0.089855}"
