,text,year,sentiment,score,emotion
0,"24.	Furthermore, Cuba has said that the projected growth rate corresponds not even remotely to the plight of the developing countries. An annual per capita growth rate of between 3.5 per cent and 4.5 per cent in those countries means that the average annual income of the inhabitants of the countries of the third world would be approximately equivalent to 10 per cent of the average income of people in the developed capitalist countries and 5 per cent of the per capita income of the citizens of the United States. Such a prospect is hardly satisfactory for millions of men and women who live in poverty and who are prepared to fight for a more dignified existence.",1970,negative,-0.670728,"{'sadness': 0.13827, 'joy': 0.228936, 'fear': 0.331102, 'disgust': 0.052475, 'anger': 0.089914}"
1,"46.	In the second year, the country having 310.5 end a 3.5 per cent increase would increase by 10.86; but the one having 1,224 with a 2 per cent increase would increase its income by 24.48. If in the case of the latter we assume an increase of 1 per cent, which would be a ridiculous figure given the growth rate of the developed countries, and on the assumption that in the first year there was also a 1 per cent growth, the per capita income would rise by 12.12 and this figure is higher than 10.86.",1970,negative,-0.825057,"{'sadness': 0.166588, 'joy': 0.271052, 'fear': 0.257592, 'disgust': 0.071955, 'anger': 0.144804}"
2,"26.	After the end of the last world war, assistance of wealthy peoples to developing countries increased at a relatively satisfactory pace untU about 1960, enabling those countries to reach an average rate of growth of their gross national product of 5 per cent per year; but since that date this assistance has remained stationary, despite repeated appeals of the international Organization to the wealthy countries to devote at least 1 per cent of their national income each year to assistance.",1970,positive,0.734166,"{'sadness': 0.278639, 'joy': 0.134051, 'fear': 0.062236, 'disgust': 0.282703, 'anger': 0.0569}"
3,"57.	The foreign debt of the developing countries, created by large export credits and development aid, has rapidly increased to almost 50 billion dollars, while the servicing of these debts has increased at the rate of 17 percent per annum, according to the Pearson report, which was drawn up by a high ranking commission of experts of the World Bank. The first Development Decade does not offer much reason for enthusiasm in most countries.",1970,positive,0.739851,"{'sadness': 0.244033, 'joy': 0.326468, 'fear': 0.379263, 'disgust': 0.030971, 'anger': 0.081329}"
4,"174.	In addition, the national development plan for the years 19701974 has set a target for increasing the gross national income by a rate of 7.1 per cent annually. This equals twice the increase in population, and will, in turn, double the gross national income in ten years.",1970,neutral,0.0,"{'sadness': 0.084992, 'joy': 0.017921, 'fear': 0.18484, 'disgust': 0.310416, 'anger': 0.188303}"
5,"and leaves only 15 per cent to 2,300 million people out of 3,000 million inhabitants of our planet.",1970,negative,-0.753049,"{'sadness': 0.299883, 'joy': 0.186091, 'fear': 0.215101, 'disgust': 0.184706, 'anger': 0.146639}"
6,"56.	That rate of 5 per cent per annum really meant something much less in the average per capita earnings in the peripheral countries. Even though the goals were so modest they were not attained nor was implementation of the recommendations attained, such as the one that the industrialized nations set aside 1 per cent of the gross national product of each of them to aid the developing areas. The point we have reached has been graphically described in the Pearson report  with these figures: 34 per cent of the world population, composed of industrialized nations, received 87.5 per cent of the gross national product of all countries; 66 per cent of the world population, corresponding to the group of less developed countries, received barely 12.5 per cent of the above mentioned gross national product; 22 per cent of the world population live in the less developed countries, where per capita income was less than 1 per cent per annum; 48 per cent obtained from 1 to 2 per cent and only 30 per cent of the outside countries have exceeded 2 per cent.",1970,negative,-0.364268,"{'sadness': 0.253758, 'joy': 0.079271, 'fear': 0.118071, 'disgust': 0.159136, 'anger': 0.097893}"
7,"211.	That is why Belgium is happy to be able to announce that its total aid will exceed 1 per cent of its gross national product in 1970, as in previous years. Moreover, it wishes to stress that its public aid rose 10 per cent in 1968, and 12 per cent in 1969, which placed it fourth among the industrialized countries. This public aid will further increase in 1971, by 18 per cent.",1970,positive,0.630951,"{'sadness': 0.135975, 'joy': 0.421501, 'fear': 0.192488, 'disgust': 0.217765, 'anger': 0.093186}"
8,"189.	The situation will become even more difficult in the future. According to calculations by experts, the total indebtedness of the countries of Asia, Africa and Latin America will reach $90,000  $100,000 million by 1980, and payments on these debts will exceed total annual receipts from external sources.",1970,negative,-0.434537,"{'sadness': 0.333851, 'joy': 0.059725, 'fear': 0.254052, 'disgust': 0.057656, 'anger': 0.209615}"
9,"117.	It is ever more inadmissible to countenance the perpetuation of the coexistence of two parallel worlds: one, a rich world in which 40 per cent of the earth's inhabitants share 88 per cent of the combined gross national products, while the other, a poor world, torn by hunger, poverty and ignorance is a world in which 60 per cent of the earth's population benefits only from the remaining 12 per cent of the gross national products.",1970,negative,-0.956989,"{'sadness': 0.552106, 'joy': 0.051519, 'fear': 0.063843, 'disgust': 0.224911, 'anger': 0.330915}"
