,text,year,sentiment,score,emotion
0,"We further agreed:
'to hold discussions under Ambassador Jarring's auspices within the framework of Security Council resolution 242 (1967) on the basis of the expression of readiness by the parties to carry out the Security Council's resolution in all its parts, in order to achieve an agreed and binding contractual peace agreement which would ensure:
'(a) Termination by Egypt and Israel of all claims or states of belligerency and respect and acknowledgment of the sovereignty, territorial integrity and political independence of each other and their right to live in peace within secure and recognized boundaries, free from threats or acts of force. Each of the parties to be responsible within its territory for the prevention of all hostile acts by regular military forces or paramilitary forces, including irregular forces, against the armed forces or against civilians living in the territory of the other party;
'(ft) Withdrawal of Israeli armed forces from territories occupied in the 1967 conflict to secure, recognized and agreed boundaries to be determined in the peace agreements.'",1970,positive,0.337635,"{'sadness': 0.078601, 'joy': 0.436479, 'fear': 0.144146, 'disgust': 0.023651, 'anger': 0.039932}"
1,"39.	In the case of the Arab-Israeli conflict, those principles are spelled out in the Security Council resolution of 22 November 1967/242 (1967)], which provides the basis for a durable peace with justice in the area. In this context, Iran was the first country to declare that acquisition of territory by force is no longer admissible. This principle was later embodied in the above- mentioned Security Council resolution which, inter alia, called upon Israel to withdraw its armed forces from occupied Arab territories.",1970,positive,0.726422,"{'sadness': 0.120976, 'joy': 0.14044, 'fear': 0.251103, 'disgust': 0.112166, 'anger': 0.109083}"
2,"146.	Standing strongly and decidedly by the side of sister Arab States in their effort to liberate their territories, Iraq reaffirms once again that the continuation of the so-called 'Middle East crisis', and the dangers to international peace and security resulting therefrom, are a direct consequence of the debarring of the Palestinian people from the exercise of their natural rights in their homelands. Iraq is firmly determined to support unreservedly the struggle of the Palestinians for their legitimate rights.",1970,positive,0.546507,"{'sadness': 0.337041, 'joy': 0.203613, 'fear': 0.388236, 'disgust': 0.073906, 'anger': 0.235902}"
3,"60.	The Middle East crisis, despite numerous peace initiatives, is far from being resolved. Kenya believes that a negotiated political settlement on the basis of the Security Council resolution of 22 November 1967 [242 (1967)] is the real basis for peace in this area so long ravaged by war of attrition. Any durable solution must be based on justice and realism.",1970,positive,0.372084,"{'sadness': 0.479571, 'joy': 0.145176, 'fear': 0.119583, 'disgust': 0.047758, 'anger': 0.138391}"
4,"206.	My Government continues to support without qualification the form of settlement contemplated in Security Council resolution 242 (1967) of 22 November 1967, which is founded on the inadmissibility of the acquisition of territory by force and the withdrawal of Israeli armed forces from all Arab territories occupied after 5 June 1967.",1970,neutral,0.0,"{'sadness': 0.19915, 'joy': 0.044985, 'fear': 0.32569, 'disgust': 0.267825, 'anger': 0.082272}"
5,"145.	The United States and Israel intend to use the acquisitions of the 1967 aggression to force the Arab nation to accept and submit to the crime of 1948, when the people of Palestine were evicted from their homeland and prevented from exercising their right to self determination and sovereignty.",1970,neutral,0.0,"{'sadness': 0.423844, 'joy': 0.180858, 'fear': 0.058368, 'disgust': 0.101209, 'anger': 0.220811}"
6,"141.	When the United States continuously declares through its highly responsible officials that it intends to preserve the present ceasefire lines between Israel and the Arab States, that means that it will protect Israeli aggression lines and Israel's aggressive gains.",1970,negative,-0.255403,"{'sadness': 0.030749, 'joy': 0.372083, 'fear': 0.162899, 'disgust': 0.360015, 'anger': 0.154824}"
7,"103.	The lesson is this, the heart of the grave Middle East problem, is the problem of Palestine, the problem of a people that was ruthlessly and most unjustly displaced from its homeland, and no settlement of the problem will be lasting if it does not carry the willing consent and acceptance of that people.",1970,negative,-0.975714,"{'sadness': 0.767306, 'joy': 0.075206, 'fear': 0.153363, 'disgust': 0.038594, 'anger': 0.1755}"
8,"18.	The problem of the elimination of the consequences of the Israeli aggression of June 1967 is closely connected that of the restoration to the Palestinian people of its legitimate rights, principally its right to self-determination and territorial integrity.",1970,neutral,0.0,"{'sadness': 0.461415, 'joy': 0.161275, 'fear': 0.21239, 'disgust': 0.122352, 'anger': 0.126818}"
9,12.	The heartrending events which are occurring today in Jordan and which have occurred in other countries in the region are only one of the consequences of Israel's refusal to implement the relevant resolutions of our Organization and to recognize the inalienable rights of the Palestinian people.,1970,negative,-0.63932,"{'sadness': 0.226259, 'joy': 0.067908, 'fear': 0.258655, 'disgust': 0.150179, 'anger': 0.158246}"
10,"88.	On the Middle East question, Malaysia's position is clear. We note that some tension has been removed as a result of the latest negotiations. However, the problem will remain unresolved as long as Israel occupies Arab lands and refuses to comply with Security Council resolutions 242 (1967) and 338 (1973). We deplore the acquisition of territories by the use of force and the changing of the geographical and demographic aspects of the occupied territories. Another aspect of the Middle East conflict is the question of Jerusalem and Israeli acts of desecration in transforming the religious and historical character of the city and the Holy Places. Malaysia has joined the Islamic countries in calling for the withdrawal of Israel from Jerusalem and has condemned its acts of desecration. The solving of the Palestinian problem is also indispensable to peace in the Middle East. The people of Palestine must be granted their inalienable right to self-determination and their right to return to their homeland. Malaysia recognizes the PLO as the legitimate representative of the Palestinian people and we fully support the PLO in its struggle to realize the aspirations of the Palestinian people.",1975,negative,-0.388547,"{'sadness': 0.539762, 'joy': 0.153654, 'fear': 0.159147, 'disgust': 0.122709, 'anger': 0.177082}"
11,"42.	We have welcomed the agreements reached in 1974 on disengagement in the Sinai on the Golan Heights. We also regard as useful the recent Egyptian- Israeli agreement on the disengagement of military forces in Sinai. We regard it as a continuation of the previous agreement which may pave the way for other steps towards the full settlement of the conflict. We feel that new and steady efforts are necessary in order to reach such a solution both in Sinai and Golan, as well as on the West Bank. We reaffirm our conviction that there will be no peace in the Middle East until Israel withdraws its troops from the Arab territories occupied during the 1967 war; until the problem of the Palestinian people is solved by the restoration of their legitimate rights, including the establishment of an independent Palestinian State; and until the right of all States of the region to existence, territorial integrity, sovereignty and independence is recognized.",1975,positive,0.451381,"{'sadness': 0.173018, 'joy': 0.499418, 'fear': 0.114531, 'disgust': 0.038008, 'anger': 0.108893}"
12,"135.	In the Middle East Israel continues to trample on the rights of the Palestinian people and to occupy the territories of neighboring Arab States. We should like to reiterate what we have repeatedly emphasized
in the past: Israel cannot have peace and security and occupation of Arab territories at the same time. It cannot have peace while continuing to trample under foot the legitimate rights of the Palestinians, as authentically represented by the Palestine Liberation Organization [PLO]. Israel cannot have it both ways. Occupation brings resistance and there is no doubt that the resistance of the Arab countries, whose territories have been occupied, as well as the Palestinians whose inalienable rights have been usurped, is mounting. And the international community is duty bound to support that resistance. Time is certainly running out.",1975,negative,-0.440285,"{'sadness': 0.202052, 'joy': 0.472339, 'fear': 0.096548, 'disgust': 0.119366, 'anger': 0.133286}"
13,"133.	The Bulgarian people are justifiably alarmed by the continuing crisis in the Middle East, which conceals a great threat to peace. The danger of a new military clash in this area has not been removed and will not be removed until Israel withdraws from all the Arab territories occupied in 1967, until the legitimate rights of the Arab people of Palestine are restored, including the right to create their own State, and until the right of all peoples and States to live in peace and security in the region are assured. A just, overall and durable settlement to the conflict cannot be achieved by partial measures, but only within the framework of the Geneva Conference on the Middle East, with the participation of all the parties concerned, including the Palestine Liberation Organization, which is the sole legitimate representative of the Arab people of Palestine.",1975,negative,-0.24818,"{'sadness': 0.146169, 'joy': 0.38904, 'fear': 0.361336, 'disgust': 0.1031, 'anger': 0.150281}"
14,"69.	It was with this understanding that we signed the disengagement agreement concerning the Golan Heights. We made a point of mentioning explicitly in the agreement that the agreement is only a step towards implementing Security Council resolution 338 (1973). We have never believed in the soundness of partial steps or the 'step-by-step policy', as designated by its initiators, because such a policy ignores the unity of our cause and represents the situation as a border dispute between Israel and Egypt, or between Israel and the Syrian Arab Republic, or between Israel and Jordan, while the situation in fact is between the Arabs as a whole and Israel, for an indivisible cause, namely, the restoration of the national rights of the people of Palestine and the recovery of all the occupied Arab territories.",1975,negative,-0.746093,"{'sadness': 0.268692, 'joy': 0.090883, 'fear': 0.196545, 'disgust': 0.2169, 'anger': 0.438703}"
15,"126.	Israeli insistence on occupying Arab territories since the June 1967 war is indeed a flagrant example of blackmail that is rejected by the international community, as is its continued support of the United States Government. My country strongly denounces support of Israel in any form by any country, and rejects the idea that the United States, as a supporter of Israel, is qualified to mediate in the Middle East question and not to rely on the principle of unconditional withdrawal from all Arab territories occupied after the June 1967 war and the exercise by the Palestinian people of their full national rights by setting up a secular Palestinian State. All such attempts are doomed to fail and will not bring peace to the area.",1975,negative,-0.850158,"{'sadness': 0.755904, 'joy': 0.024872, 'fear': 0.086651, 'disgust': 0.153918, 'anger': 0.213217}"
16,"51.	I now turn to the situation in the Middle East. It has been repeatedly emphasized in this forum that no lasting peace can be established in the Middle East so long as the Arab-Israeli conflict is not justly resolved. The essential ingredients of such a settlement have also been repeatedly stated: they are set out in Security Council resolutions 242 (1967) and 338 (1973) and have been reiterated in many important forums. They include withdrawal of Israel from all the Arab Territories occupied by it in 1967, including the holy city of Jerusalem, and the restoration of the national rights of the people of Palestine. No settlement which does not conform to those conditions will last. Not until such a settlement is reached will there be durable peace in this region.",1975,positive,0.490786,"{'sadness': 0.465847, 'joy': 0.164717, 'fear': 0.096711, 'disgust': 0.068658, 'anger': 0.098219}"
17,"38.	In the view of my Government, the solution of the Palestine question is not confined to the contracting of bilateral agreements in 'he occupied territories. The core of the problem is the question of Palestine, the question of the Palestinian people and their entity and right in their land and heritage. The occupation of parts of neighboring Arab territory is merely the result of Israel's expansionist policy in the area. And the solution of this problem lies in the complete withdrawal of Israel from the Arab lands occupied since 1967, the return of the Palestinian people to their homes and the granting to them of the right of selfdetermination, as any other people in the world.",1975,negative,-0.293975,"{'sadness': 0.359707, 'joy': 0.237251, 'fear': 0.058508, 'disgust': 0.114486, 'anger': 0.402447}"
18,"283.	The Mongolian People's Republic considers that only the complete withdrawal of Israeli troops from all the Arab territories occupied in 1967, the safeguarding of the legitimate national rights of the Arab people of Palestine and the creation of conditions for ensuring the security of all States of the region will pave the way for a just solution of the Middle East problem. In our opinion, to find a solution to the whole complex of Middle East problems it will be necessary to reconvene, at an appropriate time, the Geneva Peace Conference in which the representatives of the PLO should participate on an equal footing with the other participants.",1975,positive,0.602783,"{'sadness': 0.268237, 'joy': 0.379808, 'fear': 0.061932, 'disgust': 0.110623, 'anger': 0.308336}"
19,"218.	It is true that the Sinai agreement is only a first step on the long road towards solution of the Middle East conflict. There remain extremely difficult questions to be solved such as: first, the security of the State of Israel within frontiers which can only be final when a peace treaty is reached that its neighbors recognize; secondly, the withdrawal of Israeli troops from the territories occupied during the 1967 war; and thirdly, the recognition and practical implementation of the legitimate rights of the people of Palestine, which includes living in peace within its own State.",1975,positive,0.533127,"{'sadness': 0.30713, 'joy': 0.512761, 'fear': 0.087136, 'disgust': 0.014159, 'anger': 0.122783}"
20,"163.	With regard to the Middle East, we are convinced that we shall be unable to achieve a just and lasting peace in the region as long as the rights of the Palestinian people continue to be trampled underfoot by Israel. My Government considers that stable peace in that region will be possible only through a comprehensive solution to the problem, with the participation of all the parties involved, including the PLO. The continued unlawful occupation by Israel of Arab territories and its refusal to recognize the inalienable right of the Palestinian people to establish a State on its own territory constitute the greatest obstacle to the achievement of a viable settlement of the Middle East conflict. This situation was aggravated again by the recent decision of the Israeli Government to make Jerusalem the eternal capital of its State. This constitutes a flagrant violation of the relevant resolutions of the United Nations and defiance of international conscience and morality. On the other hand, we recognize that the comprehensive solution of the Middle East problem requires the recognition by all States of the region of the legitimate right of Israel to national existence within secure boundaries.",1980,positive,0.247758,"{'sadness': 0.511881, 'joy': 0.484756, 'fear': 0.078651, 'disgust': 0.062058, 'anger': 0.127569}"
21,"251.	The situation in the Middle East not only continues to be tense but has, in fact, deteriorated in the past several months. In keeping with our well-known position on this question, we support the right of every State in the area, including Israel, to live in peace and security within well-defined boundaries. However, a just and lasting settlement cannot be achieved unless the legitimate aspirations of the Palestinian people, their right to participate as equals in any peace negotiation and their right to a separate State of their own are recognized. The first prerequisite of a settlement is, of course, the unconditional withdrawal of Israeli forces from the territories occupied since 1967. Nepal regrets the continuing and escalating policy of Israel to change the political, legal and demographic character of the occupied territories. Such actions militate against the norms of international law and the repeated calls of the United Nations. They not only have complicated the already difficult situation but have also had a negative impact on prospects for a peaceful solution of the Middle East problem.",1980,negative,-0.308242,"{'sadness': 0.584389, 'joy': 0.461752, 'fear': 0.098281, 'disgust': 0.089159, 'anger': 0.125899}"
22,"25.	The situation in the Middle East is becoming ever more precarious. The persistent refusal of Israel to evacuate the occupied Arab territories and recognize the inalienable rights of the Palestinian people blocks any hope of the solution of a problem which has lasted far too long. For its part, Rwanda remains profoundly convinced that that tragic conflict will find no just or lasting solution without the unconditional withdrawal of the Zionist troops from the Arab territories occupied since 1967 and total respect for the inalienable national rights of the Palestinian people, including their right to establish their own State. We also believe that the Palestine Liberation Organization [PLO], recognized as the sole legitimate representative of the Palestinian people, must be intimately involved in any search for a solution to this grave problem.",1980,negative,-0.657589,"{'sadness': 0.672625, 'joy': 0.037505, 'fear': 0.08107, 'disgust': 0.133296, 'anger': 0.350989}"
